               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13114,             0.02753,            0.099396,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00031,             0.00031,             0.09721
                   1,             0.12645,            0.027888,            0.097617,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0004221,           0.0004221,            0.094122
                   2,             0.12263,            0.030402,            0.098958,             0.27055,            0.052741,            0.029842,           0.0071406,             0.11935,            0.012467,            0.096481,            0.000323,            0.000323,            0.090823
                   0,            0.099302,           0.0040169,            0.081802,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00022382,          0.00022382,            0.093413
                   1,            0.097007,           0.0044784,            0.081045,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00030476,          0.00030476,            0.090416
                   2,            0.095156,           0.0051234,            0.079195,          0.00072189,           0.0078247,          0.00043874,          0.00010801,            0.098408,            0.002289,            0.087341,          0.00023321,          0.00023321,            0.087267
                   0,             0.13513,            0.023234,             0.10567,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00029078,          0.00029078,             0.12454
                   1,             0.12621,            0.025744,             0.10182,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00039593,          0.00039593,             0.12054
                   2,             0.12246,            0.026481,             0.10168,              0.2171,            0.091421,            0.040087,            0.015791,             0.11745,            0.010607,            0.097331,          0.00030297,          0.00030297,             0.11634
                   0,             0.11504,           0.0048905,             0.11853,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00031775,          0.00031775,            0.087886
                   1,             0.11295,           0.0055509,             0.11584,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00043265,          0.00043265,            0.085109
                   2,             0.11081,           0.0063473,             0.11444,           0.0006854,            0.009556,          0.00053153,          0.00017044,              0.1144,           0.0031122,             0.12193,          0.00033108,          0.00033108,            0.082116
